<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.13	118.80	122.35	115.61	121.92	70285	0	0
2023.01.17	123.04	131.69	122.65	131.42	68307	0	0
2023.01.18	135.25	137.47	127.02	128.20	72334	0	0
2023.01.19	126.04	129.98	124.31	127.19	60664	0	0
2023.01.20	128.83	133.06	127.36	132.97	50729	0	0
2023.01.23	135.00	145.37	134.28	142.29	62084	0	0
2023.01.24	142.34	146.43	140.82	143.08	77183	0	0
2023.01.25	141.67	146.41	138.08	144.44	73145	0	0
2023.01.26	154.74	161.41	153.58	159.17	114528	0	0
2023.01.27	159.05	180.67	158.95	178.88	144557	0	0
2023.01.30	177.35	179.89	167.49	167.92	118163	0	0
2023.01.31	163.58	174.29	162.80	172.02	93489	0	0
2023.02.01	173.14	183.80	169.95	182.96	121193	0	0
2023.02.02	185.87	196.76	182.61	187.57	135141	0	0
2023.02.03	186.83	198.98	183.72	190.07	177592	0	0
2023.02.06	190.87	197.44	189.17	194.46	55114	0	0
2023.02.07	195.54	197.80	189.56	195.82	131405	0	0
2023.02.08	195.92	202.84	194.34	201.69	128203	0	0
2023.02.09	208.80	213.99	204.79	206.82	156669	0	0
2023.02.10	201.33	206.17	192.90	196.12	143968	0	0
2023.02.13	198.84	199.50	187.65	195.28	115887	0	0
2023.02.14	196.19	209.34	189.48	208.79	151897	0	0
2023.02.15	211.05	214.65	206.12	212.59	128917	0	0
2023.02.16	216.34	217.64	202.27	203.10	146245	0	0
2023.02.17	200.42	208.28	197.51	206.49	141672	0	0
2023.02.21	206.26	209.69	198.71	198.82	135086	0	0
2023.02.22	196.41	201.98	191.79	199.17	137374	0	0
2023.02.23	203.09	205.11	196.35	202.60	100459	0	0
2023.02.24	199.08	199.70	192.81	196.36	104557	0	0
2023.02.27	200.18	209.41	200.10	206.68	89990	0	0
2023.02.28	210.48	212.45	203.76	205.94	87166	0	0
2023.03.01	208.16	208.38	198.54	203.06	82168	0	0
2023.03.02	190.76	193.73	185.45	191.26	105269	0	0
2023.03.03	194.23	200.47	192.90	197.97	70360	0	0
